会社名,勤務地,給与
パーソルエクセルHRパートナーズ株式会社 | 【旧社名：パーソル パナソニック HRパートナーズ株式会社】,【希望を考慮し、配属先を決定します】 転居を伴う転勤は、原則推奨していません。 U・Iターン歓迎…,"月給234,500円〜395,000円 "
ワークスアイディ株式会社 | DXで顧客課題を解決/自社内受託も増加中/リモート約7割/AI挑戦可,★転勤なし・U/Iターン歓迎 ★配属は希望を考慮します。 北海道・宮城県・東京都・愛知県・大阪府・…,月給：22万円〜70万円
株式会社SHIFT | 東証一部上場★ソフトウェア開発/PMの経験を活かしてキャリアUP,東京・大阪・名古屋・札幌・福岡の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅…,月給35万円〜80万円
株式会社VSN | ◆先端IT領域で事業拡大中 ◆残業17h ◆副業可 ◆残業代満額支給,東京・名古屋・大阪の大都市、および関東・中部・近畿地域のプロジェクト先。 ※希望勤務地に関してはご…,【基本給】月給20万〜77.5万円（+別途手当支給）
フルウィル株式会社 | ★年間休日130日★残業ほぼなし★入社時に年収180万円増の実績有,関東・関西・北海道・九州のプロジェクト先 ※ご自身のご希望や居住地を考慮し、決定します。 ※転居を…,月給32万円〜90万円
株式会社夢テクノロジー | ★東証一部上場企業グループ★資格取得支援など各種制度充実◎,全国のプロジェクト先から希望を考慮の上、決定いたします。 ★U/Iターン歓迎 ★転勤なし [本社]…,月給:23万円〜28万円＋各種手当＋賞与2回＋残業代100％支給
株式会社SHIFT | ITエンジニア経験を活かしてITコンサルタントへ！,東京・大阪・名古屋・札幌・福岡の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅…,月給40万円〜100万円
株式会社レグルカセ | WEB面接OK／年間休日125日／転勤なし／残業少なめ／社員満足度◎,★転居を伴う転勤はありません！U・Iターンも歓迎！ 【首都圏】東京・神奈川・埼玉・千葉などのプロジ…,【経験者】
株式会社Lincs | 年休125日以上★半数以上がリモート案件★自分で案件を選べる,在宅ワーク、または本社勤務、または首都圏（東京／港区・新宿区・渋谷区含む、神奈川、千葉、埼玉）にあ…,月給35万円〜85万円
株式会社カーネルジャパン | ★土日祝休み★年休125日以上★残業月20h以下★20代活躍中,【転勤なし】 本社および東京・神奈川・埼玉・千葉などのプロジェクト先(勤務地は希望を考慮) ★本社…,【月給】18万〜80万円＋各種インセンティブ
株式会社オルトプラス | <東証一部上場の安定成長企業>★残業月20h以下★土日祝休み,【交通費全額支給】 ★本社（「池袋駅」徒歩8分）または東京都内を中心とした各プロジェクト先 ■本社…,■月給25万円〜50万円
株式会社テイクス | 【品川・東北事業所】エンジニアが主役！上場企業グループ会社,東京、神奈川、埼玉、千葉、宮城のプロジェクト先 ※転勤はありません。 ※勤務地は最大限考慮。 【品…,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。
株式会社スタッフサービス | エンジニアリング事業本部,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等）"
ピセ株式会社 | 在宅勤務制度あり／幅広い事業領域の安定企業／働きやすさも追求,★転勤なし！ ★東京・札幌・仙台・名古屋・大阪の各拠点またはクライアント先での勤務になります。 ＜…,◆年俸350万円〜850万円
株式会社夢テクノロジー | 【大阪府緊急雇用対策に賛同】年休120日以上！★未経験歓迎！,全国いずれかのプロジェクト先 ★在宅勤務のプロジェクトもございます★ ※希望エリアを考慮 ※U・I…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回
ALH株式会社 | 《WEB面接・在宅研修実施中》未経験入社9割｜年休120日以上,《★入社後はリモート研修を実施》 《★転居を伴う転勤なし》 《★勤務地は希望を考慮》 ＜勤務地＞…,月給 22万5000円以上 +（賞与年2回）+（各種手当 ※時間外手当+住宅手当）
株式会社エージェントゲート | 化粧品、メーカー、ゲームなど大手と取引★土日祝休★年休130日,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜
株式会社テイクス | 【池袋事業所】21年連続増収増益！上場企業グループ会社,東京、神奈川、埼玉、千葉のプロジェクト先 ※本人希望による転勤あり。 ※勤務地は最大限考慮。 【池…,◆月給22万円〜50万円+賞与　※高収入を掴むことも可能です。 
株式会社メイテック | 《東証一部上場企業》IoT・AI・5Gなど話題のプロジェクトあり,◇北海道・東北・関東・中部・東海・関西・中国・九州を中心に各地の配属先 ＜勤務地考慮＞ ご希望を考…,月給20万6400円〜38万7600円
株式会社TheNewGate | 自社サービス有/未経験OK/残業月5Ｈ/6ヶ月の研修有/平均年齢26歳,【東京支社】東京都品川区西品川一丁目1番1号　大崎ガーデンタワー9F 【群馬本社】群馬県高崎市請地…,月給23万円〜50万円＋賞与＋インセンティブ賞与
株式会社エージェントゲート | 定着率94%★Web面談実施中★年収120万UPでスタートの経験者も！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜
株式会社テクノプロ　テクノプロ・デザイン社 | 東証一部◆上流比率75％◆業界シェアNo.1(グループ売上高),★北海道から九州まで46都道府県の各プロジェクト先および当社拠点（沖縄を除く） 【勤務エリアは選択…,月給31万円〜68万円（一律手当含む）
株式会社レクシス  | 8割が在宅勤務/在宅時の光熱費支給/定着率92.5％/20代活躍中,東京・神奈川・埼玉・千葉・岐阜・愛知・三重・京都・大阪・兵庫の各プロジェクト先での勤務。 ※東京所…,月給22万円〜55万2000円＋各種手当（家族・住宅・出張・職能・時間外手当など）＋賞与年2回
株式会社Freedoming | 平均年齢27歳／多様な働き方を実現／残業月平均10h／副業OK,都内を中心とした一都三県のプロジェクト先 ※希望を考慮し、配属します。 ※自社サービス・受託などの…,"月給280,000円以上 ＋ 諸手当 ＋ 決算賞与（年1回）"
データアナリティクスラボ株式会社 | Start up×IT×English◆住宅・資格手当あり◆年間休日120日以上,◇東京本社または東京23区内のプロジェクト先 ※希望や通勤時間などを考慮の上、決定します。 ※転居…,◇データアナリスト経験者／月給30万円以上
株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率96.4％,住宅手当充実＆独身寮もあります！ ◆自社開発センター（神奈川）もしくは東京・神奈川のプロジェクト先…,"◆月給(最低保証給)／21万9,000円以上"
株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜
株式会社WiZ | ★年休120日以上 ★定着率90％以上 ★面接1回 ★20代活躍中,※転居を伴う転勤なし！ ★最寄り駅は「六本木」or「六本木一丁目」！★ 本社 東京都港区六本木3-…,月給23万〜40万円
サンライズシステム株式会社 | 〈創立38年の信頼〉年休125日◆残業月10h◆入社時年収80万UP例有,【転勤なし】 自社内(テレワーク可)or東京(渋谷区/港区/品川区等を中心とした23区内)/神奈川…,月給35万円以上 + 諸手当 + 賞与
株式会社リクルートスタッフィング情報サービス | 未経験からITデビュー★プライベートを大切に長く働けます！,東京エリア(東京、神奈川、千葉、埼玉)または大阪エリア(大阪、京都、兵庫、奈良)での勤務 【東京エ…,■首都圏：月給18.6万円以上＋各種手当
