会社名,勤務地,給与
株式会社SHIFT | 東証一部上場★ソフトウェア開発/PMの経験を活かしてキャリアUP,東京・大阪・名古屋・札幌・福岡の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅…,月給35万円〜80万円
アベールソリューションズ株式会社 | ◆在宅勤務アリ◆内定まで全工程「非対面」で完結できます！,【本社】 東京都中央区銀座5丁目9−8　クロス銀座6F 【プロジェクト先】 東京都内のみ,"月給312,500円〜560,000円"
株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当
株式会社Lincs | 年休125日以上★半数以上がリモート案件★自分で案件を選べる,在宅ワーク、または本社勤務、または首都圏（東京／港区・新宿区・渋谷区含む、神奈川、千葉、埼玉）にあ…,月給35万円〜85万円
東芝テック株式会社 | ★TOSHIBA(東芝)グループ★東証一部上場★地域限定勤務も可能,盛岡、仙台、福島、新潟、栃木、名古屋、三重、大阪、四国エリア（高松、松山、徳島、高知） ＜UIター…,月給 21万5500円以上 
株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆取引先861社◆WEB面接OK◆定着率93.5%,北海道から九州まで46都道府県の各プロジェクト先および当社拠点（沖縄を除く） 【勤務エリアは選択で…,月給:31万円〜68万円（一律手当含む）+各種手当（時間外100％支給 など）+賞与年2回
株式会社3CA | リモートワークもOK：土日休み・年休125日・残業月平均11.5時間,★転勤なし ★配属はお住まいや通勤も考慮して決定します。 首都圏（埼玉・千葉・東京・神奈川）の各プ…,年俸制／450万円〜800万円
株式会社スタッフサービス | エンジニアリング事業本部,【転勤なし】北海道から九州まで46都道府県の各プロジェクト先(テレワーク実績あり) ★面接地エリア…,"月給21万5,000円以上＋各種手当（残業手当全額支給等）"
株式会社アウトソーシングテクノロジー | SS事業本部ｌWEB面接OK/年間休日123日/残業少なめ/研修環境あり,＜お住まいからの通勤圏内を最大限考慮！＞ ◆東京都千代田区丸の内1-8-3 丸の内トラストタワー本…,◆経験者：月給30万円〜78万円＋各種手当・報奨金
株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆業界NO.1企業◆全国募集◆残業月20H程度,北海道から九州まで46都道府県の各プロジェクト先および当社拠点（沖縄を除く） 【勤務エリアは選択で…,月給:23.5万円〜（一律手当含む）+各種手当（時間外100％支給 など）+賞与年2回
株式会社セルア | 大阪府緊急雇用対策に賛同｜土日の完全週休2日で年間休日123日！,【基本的に転勤なし／UIターン歓迎】 東京本社(千代田区)または大阪本社(大阪市)に配属します。…,月給20万円〜50万円
株式会社アクロビジョン | 《社員ファースト企業》★定着率90％ ★Web面接1回で内定！,北海道/宮城/東京/神奈川/千葉/埼玉/愛知/大阪/京都/兵庫/広島/福岡 上記から希望勤務地をお…,【経験者】
